,file_number,host_ip,host_port,slab_buf_bytes,slab_partition,bandwidth,file_size_bytes,time_taken_sec,overall_cpu,overall_mem
0,0,10.0.0.50,5202,1073741824,4,34.56 Gb,1073741824.0,0.248558,63.75239583333348,0.9431249999999944
1,1,10.0.0.50,5202,1073741824,4,34.54 Gb,1073741824.0,0.248713,65.25338894681992,0.9254431699687113
2,2,10.0.0.50,5202,1073741824,4,34.95 Gb,1073741824.0,0.245784,62.988425443170264,0.9413972888425386
3,3,10.0.0.50,5202,1073741824,4,33.46 Gb,1073741824.0,0.256729,64.13733055265931,0.9254431699687115
4,4,10.0.0.50,5202,1073741824,4,31.05 Gb,1073741824.0,0.276656,67.03743482794609,0.9158498435870651
5,5,10.0.0.50,5202,1073741824,4,35.03 Gb,1073741824.0,0.245225,63.41699687174162,0.9458811261730916
6,6,10.0.0.50,5202,1073741824,4,34.61 Gb,1073741824.0,0.248226,66.83774765380642,0.9148070907194947
7,7,10.0.0.50,5202,1073741824,4,34.35 Gb,1073741824.0,0.250051,66.1303441084464,0.9204379562043746
8,8,10.0.0.50,5202,1073741824,4,34.87 Gb,1073741824.0,0.246335,63.095620437956434,0.948800834202288
9,9,10.0.0.50,5202,1073741824,4,34.84 Gb,1073741824.0,0.246582,60.83274244004197,0.946715328467149
10,10,10.0.0.50,5202,1073741824,4,34.53 Gb,1073741824.0,0.248743,63.74859228362927,0.9322210636079182
11,11,10.0.0.50,5202,1073741824,4,34.20 Gb,1073741824.0,0.251189,65.29489051094934,0.9206465067778891
12,12,10.0.0.50,5202,1073741824,4,34.44 Gb,1073741824.0,0.249392,66.72137643378558,0.9185610010427482
13,13,10.0.0.50,5202,1073741824,4,34.89 Gb,1073741824.0,0.246215,63.29655891553714,0.9387904066736136
14,14,10.0.0.50,5202,1073741824,4,35.02 Gb,1073741824.0,0.245259,67.67059436913463,0.9132429614181385
15,15,10.0.0.50,5202,1073741824,4,34.28 Gb,1073741824.0,0.250552,65.69259645464065,0.9204379562043744
16,16,10.0.0.50,5202,1073741824,4,35.08 Gb,1073741824.0,0.244867,67.89843587069872,0.9112617309697564
17,17,10.0.0.50,5202,1073741824,4,34.17 Gb,1073741824.0,0.251385,63.627632950990936,0.943587069864436
18,18,10.0.0.50,5202,1073741824,4,34.68 Gb,1073741824.0,0.247696,65.61167883211715,0.9171011470281492
19,19,10.0.0.50,5202,1073741824,4,34.91 Gb,1073741824.0,0.246063,64.14848800834214,0.9369134515119856
20,20,10.0.0.50,5202,1073741824,4,34.63 Gb,1073741824.0,0.248054,64.07122002085542,0.9259645464024964
21,21,10.0.0.50,5202,1073741824,4,34.83 Gb,1073741824.0,0.246616,63.79676746611081,0.9425443169968659
22,22,10.0.0.50,5202,1073741824,4,34.53 Gb,1073741824.0,0.248784,64.82898852971887,0.9179353493222052
23,23,10.0.0.50,5202,1073741824,4,34.54 Gb,1073741824.0,0.248726,63.3344108446302,0.9401459854014548
24,24,10.0.0.50,5202,1073741824,4,34.38 Gb,1073741824.0,0.249878,65.35808133472405,0.9204379562043753
