,file_number,host_ip,host_port,slab_buf_bytes,slab_partition,bandwidth,file_size_bytes,time_taken_sec,overall_cpu,overall_mem
0,0,10.0.0.50,5201,1073741824,4,736.32 Mb,10485760.0,0.113926,90.24107142857143,0.8928571428571426
1,1,10.0.0.50,5201,1073741824,4,923.26 Mb,10485760.0,0.090859,90.9018181818182,0.8236363636363636
2,2,10.0.0.50,5201,1073741824,4,589.27 Mb,10485760.0,0.142356,91.79272727272729,0.8127272727272726
3,3,10.0.0.50,5201,1073741824,4,677.05 Mb,10485760.0,0.123899,91.51272727272732,0.8000000000000002
4,4,10.0.0.50,5201,1073741824,4,803.34 Mb,10485760.0,0.104422,92.6072727272727,0.8127272727272726
5,5,10.0.0.50,5201,1073741824,4,762.07 Mb,10485760.0,0.110077,91.67818181818186,0.8163636363636362
6,6,10.0.0.50,5201,1073741824,4,575.11 Mb,10485760.0,0.145861,90.09090909090912,0.8163636363636363
7,7,10.0.0.50,5201,1073741824,4,809.23 Mb,10485760.0,0.103662,92.96000000000004,0.7909090909090908
8,8,10.0.0.50,5201,1073741824,4,556.33 Mb,10485760.0,0.150784,93.36545454545457,0.8145454545454545
9,9,10.0.0.50,5201,1073741824,4,591.43 Mb,10485760.0,0.141837,94.4254545454545,0.7945454545454546
10,10,10.0.0.50,5201,1073741824,4,599.39 Mb,10485760.0,0.139952,92.12363636363638,0.8072727272727268
11,11,10.0.0.50,5201,1073741824,4,531.66 Mb,10485760.0,0.15778,93.10909090909092,0.8145454545454545
12,12,10.0.0.50,5201,1073741824,4,798.24 Mb,10485760.0,0.105089,90.72000000000004,0.8000000000000002
13,13,10.0.0.50,5201,1073741824,4,733.87 Mb,10485760.0,0.114307,90.33636363636369,0.8218181818181819
14,14,10.0.0.50,5201,1073741824,4,586.72 Mb,10485760.0,0.142975,92.47454545454548,0.7963636363636365
15,15,10.0.0.50,5201,1073741824,4,637.97 Mb,10485760.0,0.13149,94.11636363636363,0.8018181818181819
16,16,10.0.0.50,5201,1073741824,4,560.80 Mb,10485760.0,0.149584,94.24363636363636,0.7927272727272727
17,17,10.0.0.50,5201,1073741824,4,581.25 Mb,10485760.0,0.144321,94.91454545454542,0.8127272727272725
18,18,10.0.0.50,5201,1073741824,4,552.05 Mb,10485760.0,0.151955,90.17636363636365,0.7999999999999996
19,19,10.0.0.50,5201,1073741824,4,753.52 Mb,10485760.0,0.111326,88.47454545454546,0.8254545454545458
20,20,10.0.0.50,5201,1073741824,4,592.74 Mb,10485760.0,0.141523,92.1127272727273,0.8127272727272724
21,21,10.0.0.50,5201,1073741824,4,756.94 Mb,10485760.0,0.110823,92.59636363636363,0.82
22,22,10.0.0.50,5201,1073741824,4,683.63 Mb,10485760.0,0.122706,93.68000000000006,0.7872727272727271
23,23,10.0.0.50,5201,1073741824,4,656.26 Mb,10485760.0,0.127824,92.11999999999999,0.8654545454545455
