,file_number,host_ip,host_port,slab_buf_bytes,slab_partition,bandwidth,file_size_bytes,time_taken_sec,overall_cpu,overall_mem
71,71,10.0.0.50,5202,1073741824,4,595.71 Mb,104857600.0,1.408168,71.58522727272731,0.8954545454545447
72,72,10.0.0.50,5202,1073741824,4,664.33 Mb,104857600.0,1.262723,59.66704545454548,0.9727272727272723
73,73,10.0.0.50,5202,1073741824,4,609.16 Mb,104857600.0,1.377069,59.83636363636362,0.986363636363636
74,74,10.0.0.50,5202,1073741824,4,609.31 Mb,104857600.0,1.376747,72.03636363636365,0.8852272727272723
75,75,10.0.0.50,5202,1073741824,4,861.48 Mb,104857600.0,0.973744,65.60909090909091,0.9374999999999997
76,76,10.0.0.50,5202,1073741824,4,1057.78 Mb,104857600.0,0.793039,59.270454545454555,0.9852272727272727
77,77,10.0.0.50,5202,1073741824,4,639.32 Mb,104857600.0,1.312115,72.16363636363637,0.8863636363636357
78,78,10.0.0.50,5202,1073741824,4,1192.73 Mb,104857600.0,0.703309,56.87045454545455,1.0102272727272716
79,79,10.0.0.50,5202,1073741824,4,984.72 Mb,104857600.0,0.851878,55.55454545454547,1.0193181818181813
80,80,10.0.0.50,5202,1073741824,4,603.57 Mb,104857600.0,1.389824,76.2693181818182,0.8397727272727272
81,81,10.0.0.50,5202,1073741824,4,605.25 Mb,104857600.0,1.385985,55.326136363636394,1.0204545454545448
82,82,10.0.0.50,5202,1073741824,4,617.93 Mb,104857600.0,1.357536,55.1909090909091,0.9772727272727265
83,83,10.0.0.50,5202,1073741824,4,899.04 Mb,104857600.0,0.933061,55.81477272727283,0.9636363636363628
84,84,10.0.0.50,5202,1073741824,4,633.23 Mb,104857600.0,1.324729,71.84659090909093,0.9056818181818176
85,85,10.0.0.50,5202,1073741824,4,1179.34 Mb,104857600.0,0.711295,57.062500000000064,0.9534090909090899
86,86,10.0.0.50,5202,1073741824,4,643.15 Mb,104857600.0,1.304295,61.97386363636372,0.9374999999999989
87,87,10.0.0.50,5202,1073741824,4,602.89 Mb,104857600.0,1.391396,71.11136363636363,0.9090909090909084
88,88,10.0.0.50,5202,1073741824,4,656.96 Mb,104857600.0,1.276887,62.146590909090925,0.9238636363636352
89,89,10.0.0.50,5202,1073741824,4,610.99 Mb,104857600.0,1.372957,60.02840909090909,0.9181818181818172
90,90,10.0.0.50,5202,1073741824,4,603.08 Mb,104857600.0,1.390963,60.70227272727275,0.942045454545454
91,91,10.0.0.50,5202,1073741824,4,614.58 Mb,104857600.0,1.36494,59.84090909090909,0.9363636363636353
92,92,10.0.0.50,5202,1073741824,4,1122.31 Mb,104857600.0,0.747443,61.32045454545459,0.9363636363636356
